kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250916195619478-0002,T20-000962464,S11-250800041^14,33100801,1902,S1,10,2025-10-21 00:19:18.200,,0,1,0,1,0,0
S-W-20250916195625108-0002,T20-000963748,S11-250800038^5,30200625,1902,S1,10,2025-10-21 00:27:49.200,,0,1,0,1,0,0
S-W-20250916195625108-0005,T20-000963749,S11-250800038^5,30200626,1902,S1,10,2025-10-21 00:27:49.200,,0,1,0,1,0,0
S-W-20250916195625108-0031,T20-000963754,S11-250800038^5,32600585,1902,S1,10,2025-10-21 00:27:49.200,,0,1,0,1,0,0
S-W-20250916195625108-0032,T20-000963759,S11-250800038^5,34100291,1902,S1,10,2025-10-21 00:27:49.200,,0,1,0,1,0,0
S-W-20250916195625108-0042,T20-000963760,S11-250800038^5,34100292,1902,S1,10,2025-10-21 00:27:49.200,,0,1,0,1,0,0
S-W-20250916195643982-0066,T20-000963427,S1A-241200022^2,33100781,1902,S1,10,2025-10-21 00:36:05.600,,0,1,0,1,0,0
S-W-20250923163530774-0056,T20-000963174,S11-250800034^3,33100775,1902,S1,10,2025-10-21 00:48:45.800,,0,1,0,1,0,0
S-W-20250923163530774-0057,T20-000963175,S11-250800034^3,33100776,1902,S1,10,2025-10-21 00:48:45.800,,0,1,0,1,0,0
S-W-20250916195647012-0057,T20-000964042,S11-250900017^2,33100866,1902,S1,10,2025-10-21 01:27:03.800,,0,1,0,1,0,0
S-W-20250916195647012-0066,T20-000964041,S11-250900017^2,33100865,1902,S1,10,2025-10-21 01:27:03.800,,0,1,0,1,0,0
S-W-20250923163535649-0003,T20-000962818,S11-250800032^4,33100786,1902,S1,10,2025-10-21 02:22:25.800,,0,1,0,1,0,0
S-W-20250923163540219-0002,T20-000962958,S11-250800032^12,33100801,1902,S1,10,2025-10-21 02:54:24.000,,0,1,0,1,0,0
S-W-20250923163540849-0002,T20-000963427,S1A-241200022^2,33100781,1902,S1,10,2025-10-21 03:07:56.800,,0,1,0,1,0,0
S-W-20250916195647822-0056,T20-000963932,S11-250900015^1,33100871,1902,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250916195647822-0065,T20-000963931,S11-250900015^1,33100870,1902,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250923163443333-0026,T20-000961968,S11-250800006^1,33100870,1902,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250923163443333-0032,T20-000961969,S11-250800006^1,33100871,1902,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250925110439015-0012,T20-000961968,S11-250800006^1,33100870,1902,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250925110439015-0014,T20-000961969,S11-250800006^1,33100871,1902,S1,10,2025-10-21 06:30:00.000,,0,1,0,1,0,0
S-W-20250909182425503-0004,T20-000962531,S11-250800042^1,33100784,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195551786-0006,T20-000961967,S11-250800006^1,32600606,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195551786-0022,T20-000961938,S11-250800006^1,30200550,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195551786-0027,T20-000961937,S11-250800006^1,30200549,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195551786-0032,T20-000961936,S11-250800006^1,30200547,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195551786-0040,T20-000961935,S11-250800006^1,30200546,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195650192-0027,T20-000964124,S1A-241200023^1,33100786,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195650192-0028,T20-000964123,S1A-241200023^1,32600530,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195659532-0067,T20-000964552,S11-250900027^1,32600593,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250916195659532-0068,T20-000964551,S11-250900027^1,32600592,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250923163454716-0006,T20-000962530,S11-250800042^2,33100783,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250923163525243-0079,T20-000963642,S11-250800038^3,32600535,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250923163525243-0080,T20-000963643,S11-250800038^3,32600536,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250930204634733-0016,T20-000961972,S11-250800006^1,33700578,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250930204634733-0017,T20-000961971,S11-250800006^1,33700574,1902,S1,10,2025-10-21 07:50:00.000,,0,1,0,1,0,0
S-W-20250923163524182-0029,T20-000963576,S11-250800038^2,33100726,1902,S1,10,2025-10-21 07:56:18.000,,0,1,0,1,0,0
S-W-20250925110442295-0003,T20-000962392,S11-250800041^12,33100130,1902,S1,10,2025-10-21 08:03:34.800,,0,1,0,1,0,0
S-W-20250925110446608-0003,T20-000963174,S11-250800034^3,33100775,1902,S1,10,2025-10-21 08:16:05.600,,0,1,0,1,0,0
S-W-20250925110446608-0004,T20-000963175,S11-250800034^3,33100776,1902,S1,10,2025-10-21 08:16:05.600,,0,1,0,1,0,0
S-W-20250930204642343-0002,T20-000963175,S11-250800034^3,33100776,1902,S1,10,2025-10-21 08:16:05.600,,2,1,0,1,0,0
S-W-20250930204642343-0003,T20-000963174,S11-250800034^3,33100775,1902,S1,10,2025-10-21 08:16:05.600,,2,1,0,1,0,0
S-W-20250923163553431-0067,T20-000964552,S11-250900027^1,32600593,1902,S1,10,2025-10-21 08:29:39.600,,0,1,0,1,0,0
S-W-20250923163553431-0068,T20-000964551,S11-250900027^1,32600592,1902,S1,10,2025-10-21 08:29:39.600,,0,1,0,1,0,0
S-W-20250923163528734-0028,T20-000963827,S11-250800038^6,32600645,1902,S1,10,2025-10-21 08:33:16.000,,0,1,0,1,0,0
S-W-20250923163528734-0029,T20-000963828,S11-250800038^6,33100952,1902,S1,10,2025-10-21 08:33:16.000,,0,1,0,1,0,0
S-W-20250923163521332-0077,T20-000962464,S11-250800041^14,33100801,1902,S1,10,2025-10-21 08:39:38.200,,0,1,0,1,0,0
S-W-20250909182426816-0002,T20-000962530,S11-250800042^2,33100783,1902,S1,10,2025-10-21 09:36:34.600,,0,1,0,1,0,0
S-W-20250925110456099-0002,T20-000962818,S11-250800032^4,33100786,1902,S1,10,2025-10-21 09:59:27.400,,0,1,0,1,0,0
S-W-20250930204643743-0002,T20-000962818,S11-250800032^4,33100786,1902,S1,10,2025-10-21 09:59:27.400,,2,1,0,1,0,0
S-W-20250923163544191-0041,T20-000963934,S11-250900015^1,33700578,1902,S1,10,2025-10-21 10:12:06.800,,0,1,0,1,0,0
S-W-20250923163544191-0042,T20-000963933,S11-250900015^1,33700574,1902,S1,10,2025-10-21 10:12:06.800,,0,1,0,1,0,0
S-W-20250925110457619-0002,T20-000962958,S11-250800032^12,33100801,1902,S1,10,2025-10-21 10:23:47.400,,0,1,0,1,0,0
S-W-20250930204644823-0005,T20-000962958,S11-250800032^12,33100801,1902,S1,10,2025-10-21 10:23:47.400,,2,1,0,1,0,0
S-W-20250925110457899-0002,T20-000963427,S1A-241200022^2,33100781,1902,S1,10,2025-10-21 10:37:20.200,,0,1,0,1,0,0
