kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250923163608000-0064,T20-000965860,S11-250800036^9,32600552,1902,S1,10,2025-10-28 07:53:25,,0,1,0,1,1,0,0
S-W-20250930204648419-0014,T20-000964007,S11-250900017^2,30200534,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204648419-0016,T20-000964008,S11-250900017^2,30200535,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204648419-0018,T20-000964009,S11-250900017^2,30200539,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204648419-0021,T20-000964010,S11-250900017^2,30200540,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204648419-0026,T20-000964040,S11-250900017^2,32600628,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204648419-0027,T20-000964043,S11-250900017^2,33700572,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204648419-0028,T20-000964044,S11-250900017^2,33700577,1902,S1,10,2025-10-28 08:03:49,,0,1,0,1,1,0,0
S-W-20250930204650310-0010,T20-000963898,S11-250900015^1,30200546,1902,S1,10,2025-10-28 11:14:49,,0,1,0,1,1,0,0
S-W-20250930204650310-0012,T20-000963899,S11-250900015^1,30200547,1902,S1,10,2025-10-28 11:14:49,,0,1,0,1,1,0,0
S-W-20250930204650310-0014,T20-000963900,S11-250900015^1,30200549,1902,S1,10,2025-10-28 11:14:49,,0,1,0,1,1,0,0
S-W-20250930204650310-0017,T20-000963901,S11-250900015^1,30200550,1902,S1,10,2025-10-28 11:14:49,,0,1,0,1,1,0,0
S-W-20250930204650310-0024,T20-000963930,S11-250900015^1,32600606,1902,S1,10,2025-10-28 11:14:49,,0,1,0,1,1,0,0
S-W-20250925110503472-0005,T20-000964368,S1A-250900009^1,33100669,1902,S1,10,2025-10-28 13:21:45,,0,1,0,1,1,0,0
S-W-20250925110503472-0006,T20-000964367,S1A-250900009^1,32600481,1902,S1,10,2025-10-28 13:21:45,,0,1,0,1,1,0,0
S-W-20250925110503762-0002,T20-000964431,S1A-250900009^2,33100801,1902,S1,10,2025-10-28 13:39:07,,0,1,0,1,1,0,0
S-W-20250925110503762-0003,T20-000964430,S1A-250900009^2,32600552,1902,S1,10,2025-10-28 13:39:07,,0,1,0,1,1,0,0
S-W-20250925110506706-0006,T20-000964491,S1A-250900009^6,33100903,1902,S1,10,2025-10-28 13:47:38,,0,1,0,1,1,0,0
S-W-20250925110506706-0007,T20-000964490,S1A-250900009^6,33100902,1902,S1,10,2025-10-28 13:47:38,,0,1,0,1,1,0,0
S-W-20250925110506706-0009,T20-000964489,S1A-250900009^6,32600616,1902,S1,10,2025-10-28 13:47:38,,0,1,0,1,1,0,0
S-W-20250925110445215-0004,T20-000963758,S11-250800038^5,34100271,1902,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
S-W-20250925110445215-0009,T20-000963757,S11-250800038^5,34100269,1902,S1,10,2025-10-28 14:30:00,,0,1,0,1,1,0,0
